customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,Charges.Daily
0002-ORFBO,False,Female,0,True,True,9,True,False,DSL,False,True,False,True,True,False,One year,True,Mailed check,65.6,593.3,2.1866666666666665
0003-MKNFE,False,Male,0,False,False,9,True,True,DSL,False,False,False,False,False,True,Month-to-month,False,Mailed check,59.9,542.4,1.9966666666666666
0004-TLHLJ,True,Male,0,False,False,4,True,False,Fiber optic,False,False,True,False,False,False,Month-to-month,True,Electronic check,73.9,280.85,2.4633333333333334
0011-IGKFF,True,Male,1,True,False,13,True,False,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Electronic check,98.0,1237.85,3.2666666666666666
0013-EXCHZ,True,Female,1,True,False,3,True,False,Fiber optic,False,False,False,True,True,False,Month-to-month,True,Mailed check,83.9,267.4,2.796666666666667
0013-MHZWF,False,Female,0,False,True,9,True,False,DSL,False,False,False,True,True,True,Month-to-month,True,Credit card (automatic),69.4,571.45,2.3133333333333335
0013-SMEOE,False,Female,1,True,False,71,True,False,Fiber optic,True,True,True,True,True,True,Two year,True,Bank transfer (automatic),109.7,7904.25,3.6566666666666667
0014-BMAQU,False,Male,0,True,False,63,True,True,Fiber optic,True,False,False,True,False,False,Two year,True,Credit card (automatic),84.65,5377.8,2.8216666666666668
0015-UOCOJ,False,Female,1,False,False,7,True,False,DSL,True,False,False,False,False,False,Month-to-month,True,Electronic check,48.2,340.35,1.6066666666666667
0016-QLJIS,False,Female,0,True,True,65,True,True,DSL,True,True,True,True,True,True,Two year,True,Mailed check,90.45,5957.9,3.015
0017-DINOC,False,Male,0,False,False,54,False,No phone service,DSL,True,False,False,True,True,False,Two year,False,Credit card (automatic),45.2,2460.55,1.5066666666666668
0017-IUDMW,False,Female,0,True,True,72,True,True,Fiber optic,True,True,True,True,True,True,Two year,True,Credit card (automatic),116.8,8456.75,3.893333333333333
0018-NYROU,False,Female,0,True,False,5,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,68.95,351.5,2.2983333333333333
0019-EFAEP,False,Female,0,False,False,72,True,True,Fiber optic,True,True,True,False,True,False,Two year,True,Bank transfer (automatic),101.3,7261.25,3.3766666666666665
0019-GFNTW,False,Female,0,False,False,56,False,No phone service,DSL,True,True,True,True,False,False,Two year,False,Bank transfer (automatic),45.05,2560.1,1.5016666666666665
0020-INWCK,False,Female,0,True,True,71,True,True,Fiber optic,False,True,True,False,False,True,Two year,True,Credit card (automatic),95.75,6849.4,3.191666666666667
0020-JDNXP,False,Female,0,True,True,34,False,No phone service,DSL,True,False,True,True,True,True,One year,False,Mailed check,61.25,1993.2,2.0416666666666665
0021-IKXGC,False,Female,1,False,False,1,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,72.1,72.1,2.4033333333333333
0022-TCJCI,True,Male,1,False,False,45,True,False,DSL,True,False,True,False,False,True,One year,False,Credit card (automatic),62.7,2791.5,2.0900000000000003
0023-HGHWL,True,Male,1,False,False,1,False,No phone service,DSL,False,False,False,False,False,False,Month-to-month,True,Electronic check,25.1,25.1,0.8366666666666667
0023-UYUPN,False,Female,1,True,False,50,True,True,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Electronic check,25.2,1306.3,0.84
0023-XUOPT,True,Female,0,True,False,13,True,True,Fiber optic,False,True,True,False,True,False,Month-to-month,False,Electronic check,94.1,1215.6,3.1366666666666663
0027-KWYKW,False,Female,0,True,True,23,True,True,Fiber optic,False,False,False,False,True,False,Month-to-month,True,Electronic check,83.75,1849.95,2.7916666666666665
0030-FNXPP,False,Female,0,False,False,3,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.85,57.2,0.6616666666666667
0031-PVLZI,True,Female,0,True,True,4,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.35,76.35,0.6783333333333333
0032-PGELS,True,Female,0,True,True,1,False,No phone service,DSL,True,False,False,False,False,False,Month-to-month,False,Bank transfer (automatic),30.5,30.5,1.0166666666666666
0036-IHMOT,False,Female,0,True,True,55,True,False,Fiber optic,False,True,True,True,True,True,One year,True,Bank transfer (automatic),103.7,5656.75,3.4566666666666666
0040-HALCW,False,Male,0,True,True,54,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),20.4,1090.6,0.6799999999999999
0042-JVWOJ,False,Male,0,False,False,26,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Bank transfer (automatic),19.6,471.85,0.6533333333333334
0042-RLHYP,False,Female,0,True,True,69,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),19.7,1396.9,0.6566666666666666
0047-ZHDTW,,Female,0,False,False,11,True,True,Fiber optic,True,False,False,False,False,False,Month-to-month,True,Bank transfer (automatic),79.0,929.3,2.6333333333333333
0048-LUMLS,False,Male,0,True,True,37,True,False,Fiber optic,False,False,False,False,True,True,One year,False,Credit card (automatic),91.2,3247.55,3.04
0048-PIHNL,False,Female,0,True,False,49,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Bank transfer (automatic),20.45,900.9,0.6816666666666666
0052-DCKON,False,Male,0,True,False,66,True,True,Fiber optic,True,True,True,True,True,True,One year,False,Bank transfer (automatic),115.8,7942.15,3.86
0052-YNYOT,False,Female,0,False,False,67,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Electronic check,20.55,1343.4,0.685
0056-EPFBG,False,Male,0,True,True,20,False,No phone service,DSL,True,False,True,True,False,False,Two year,True,Credit card (automatic),39.4,825.4,1.3133333333333332
